4883594.621559,90,4222635.27055,11,3930681.707822,31,2952129.721617,26,2544419.366538,91,2224456.258921,150,1800489.395212,120,1792671.044762,61,1287309.779053,89,1271859.52533,30,1193214.247973,41,1100638.991837,60,980538.576145,92,927127.887079,40,804786.048977,32,755256.477452,27,722196.1653,299,717079.231861,149,701124.635241,29,665990.659642,88,641415.360021,93,628648.393356,21,626768.817549,70,538259.159128,62,505668.000612,51,502013.351645,101,492189.443987,87,483265.277559,94,481777.27094,151,480826.147096,209,454103.419818,42,444237.02564,239,chello
5219490.91401,27,4433464.397678,23,2976142.741285,24,2480633.987049,28,2213236.505226,33,2180031.094495,90,1843336.13033,25,1716140.177731,53,1526703.984674,54,1253748.218966,52,1122220.518678,26,1031014.699025,79,980922.636006,48,944951.076001,210,899115.965259,106,891739.378929,49,825785.828333,34,805277.265117,22,774685.80917,105,767615.871621,89,738730.864243,263,734567.187518,158,712185.380157,132,692901.2843,29,671763.349622,104,663488.513357,70,652025.147973,140,646730.240721,139,637046.061978,19,633498.678039,134,607990.030879,32,600957.218593,260,chello
8484145.886525,22,3904563.064033,15,2711307.294414,29,1172905.315573,21,1072804.218687,64,789067.442914,57,743017.737472,71,660058.856855,50,643001.981421,16,627676.301047,36,589083.724769,20,579492.908105,42,455550.133037,92,452109.752822,23,432796.7196,70,417895.878495,17,413444.787983,65,391180.893018,44,384508.034025,14,372138.706435,106,370208.800956,30,364929.797687,18,357320.18905,19,349029.933485,85,321083.242612,120,302771.997178,63,301086.19521,49,269821.984418,86,265308.851713,141,265049.690859,28,264632.499808,40,258336.619949,99,chello
4598134.359872,31,4083207.907973,90,3978303.497009,11,3896624.062619,91,2636334.13343,150,1843294.045259,61,1796678.864403,120,1431415.581998,60,1388237.949439,89,1264622.389067,30,1242213.939032,92,1179000.049032,26,959660.669284,32,809542.901121,88,788276.644668,93,767441.241979,121,760786.516667,41,723530.739253,40,560256.790084,94,548068.665454,33,542735.511903,119,529905.640141,87,519192.482657,299,508142.677954,62,505909.66262,29,499150.372026,51,446167.952802,34,442859.14358,95,441024.182289,300,420797.36202,86,411216.239773,180,399092.11166,59,chello
3360818.531409,89,3357417.294376,19,2729995.00171,23,2522074.596456,53,2463989.670161,27,2103215.783173,28,1940456.527598,90,1836495.198679,33,1813145.347951,18,1729777.807976,48,1506661.478225,71,1386308.029261,26,1373060.239103,35,1333377.567518,29,1276064.691914,22,1212706.908651,88,1135716.590049,68,1010256.591838,67,988693.582746,54,978470.676332,87,968720.311779,49,958489.240888,56,911879.529067,34,906229.089643,142,899825.258113,159,881840.069479,17,858903.755856,86,840949.839576,107,831418.913224,102,817046.22874,72,813778.591733,25,783611.525977,46,chello
7605023.208231,22,5661086.397753,15,2882597.647036,29,999790.844724,64,794715.972649,50,659907.49895,36,650255.829122,43,633045.688308,42,627375.17676,57,590002.36277,71,454170.267261,92,403971.033684,44,359557.998438,23,359204.302193,28,356597.231785,30,287229.223711,14,284926.671777,19,282784.954851,20,275147.237204,70,270574.587011,106,256995.89129,17,227511.143708,78,220202.921289,27,194842.787279,16,193785.073442,99,191391.856738,49,190428.665575,35,190103.450124,18,182557.037993,21,170421.793374,105,169887.362691,86,162564.441964,141,chello
4779250.908871,61,4537797.006433,91,3841244.858423,31,3717366.721617,11,2749797.992514,90,1939769.666047,60,1429665.125965,150,1368515.684969,92,1308439.246089,121,1130458.268364,89,1029881.585587,120,899922.575326,62,855933.595468,151,833954.212552,26,793367.460959,93,772041.35061,59,703565.195224,41,651859.24113,88,581356.164802,32,560315.862149,94,548373.964968,58,544920.831508,180,541023.475471,30,537815.134081,40,520484.340752,63,518818.404821,119,497182.055106,300,486884.05605,87,485834.903649,16,464833.831389,240,456006.140219,95,409976.543754,57,chello
4598871.447659,19,4493355.202528,89,3631104.503754,18,2534496.876598,71,2423805.24616,27,2245050.195661,36,1746714.468768,72,1602573.841633,23,1399402.211519,17,1276561.660239,88,1180568.463459,54,1126062.995095,53,1009978.23683,35,977648.669863,16,869712.489676,20,850603.047662,70,848364.281087,24,839744.146107,32,828080.957516,45,788555.285755,73,772653.465806,87,746785.761761,55,729154.571819,52,645194.585645,107,621616.776384,69,603920.671833,46,591430.998796,31,541458.793464,21,533786.349516,49,533662.210015,68,513716.062043,15,508268.361547,51,chello
7401615.273563,22,6124356.737288,15,2763493.136135,29,888446.74696,64,841474.238406,36,560553.113039,57,558849.364594,50,516070.088756,71,364045.542223,21,362539.173451,92,324996.514063,20,315430.172949,42,299044.742714,85,282061.026789,14,261764.565722,30,244478.210724,43,236748.020015,16,230466.531595,28,224073.852735,106,217053.570049,18,200532.644149,120,196369.961407,78,195199.246181,23,192821.325775,44,162209.405182,70,161649.158159,35,149365.037703,17,136189.037067,162,127593.240922,19,122667.117767,169,122608.951858,40,121828.756095,31,chello
5327919.487201,61,3654890.170922,11,3560501.420094,91,3536036.787872,31,2693161.431202,90,2503165.159239,60,1630505.249017,120,1462961.381456,62,1359980.9175,92,1211572.659202,150,1179960.412115,59,1129645.589182,89,842895.854552,63,837391.596832,93,737426.306607,26,726147.36527,121,723529.986919,180,712462.512014,30,700844.571939,58,619688.04724,88,603338.603872,94,539762.586524,41,529619.059542,64,506213.602442,240,501312.149533,40,493068.336291,57,465381.623309,95,461689.451946,151,444898.472181,119,436355.297567,65,435172.456029,101,393286.46295,87,chello
